Subject,Age,Gender,Ethnicity,Exercise,E_category,Dynamic,E_history,E_duration,E_intensity,EI_1,EI_2r,EI_3,EI_4r,EI_5,EI_6r,EI_7,EI_8r,EI_9,EI_10r,EF_1,EF_2r,EF_3,EF_4r,EF_5,EF_6r,EF_7,EF_8r,EF_9,EF_10r,EM_1,EM_2r,EM_3,EM_4r,EM_5,EM_6r,EM_7,EM_8r,EM_9,EM_10r,Flanker.Congruent.acc,Flanker.Incongruent.acc,Flanker.Congruent.RT,Flanker.Incongruent.RT,Flanker.Inhibition.Acc,Flanker.Inhibition.RT,WM.C3,WM.C4,WM.C5,WM.C6,WM.C7,WM.C8,WM.C9,WM.Capacity
1001,19,0,4,1,Soccer,1,5,2,4,3,3,4,3,5,2,4,4,4,4,5,3,4,2,4,3,5,5,5,4,4,2,5,3,5,4,5,3,5,2,100,99,479.7163,564.0426,1,84.3263,3,4,4,1,6,4,5,3.857142857
1002,19,0,2,1,Run,0,5,2,3,3,3,4,5,5,2,4,4,2,4,2,2,4,2,2,1,2,4,2,2,3,3,1,4,2,4,2,2,5,2,99,92.92929293,508.1284,539.1574747,6.070707071,31.02907475,3,4,4,6,1.5,2.5,3,3.428571429
1004,20,0,2,1,Run,0,5,3,4,3,4,4,2,5,2,4,2,2,4,4,3,4,2,2,4,3,4,3,2,2,4,3,4,2,3,3,2,3,4,98.92473118,97.91666667,433.7169892,503.1566667,1.008064516,69.43967742,3,2,4.5,4.5,7,8,7.5,5.214285714
1005,23,1,4,1,Weight Train,0,5,5,4,4,4,5,5,5,1,5,5,2,5,5,1,5,5,4,1,5,5,5,3,3,4,4,2,5,5,1,1,4,1,99,96,446.6163,517.6702,3,71.0539,3,4,4,3.5,2.5,4,2.5,3.357142857
1006,23,1,2,1,Run,0,5,1,4,3,3,2,4,4,2,3,2,4,2,3,3,3,2,3,2,2,4,3,2,4,2,4,3,2,2,1,3,4,1,100,97,391.2146,447.8597,3,56.6451,3,4,3,4,2.5,1,3.5,3
1009,18,0,2,1,Badminton,1,5,3,3,2,4,4,3,3,3,3,2,4,3,3,3,4,3,3,4,3,4,4,3,3,3,4,4,3,3,4,4,3,3,100,89.8989899,378.4606316,459.9145455,10.1010101,81.45391388,2,4,5,6,6,6.5,8,5.357142857
1010,18,0,2,1,Ice Skate,0,5,2,4,3,3,3,3,3,3,3,3,3,3,4,2,5,1,4,2,4,3,3,3,3,3,3,4,3,4,2,4,2,4,100,97,428.1926,525.1304,3,96.9378,3,4,5,6,7,8,8,5.857142857
1011,19,0,4,1,Dance,0,3,5,3,2,5,4,3,4,1,5,2,5,4,4,1,3,3,4,2,5,3,4,4,5,3,3,2,5,2,2,4,2,2,100,100,528.2417,620.3151,0,92.0734,3,4,5,6,3,1.5,2.5,3.571428571
1012,24,0,3,1,HIIT,0,4,2,4,1,1,4,4,5,2,2,3,5,4,3,2,4,3,1,2,2,5,4,2,2,2,4,5,2,4,2,2,4,2,81.44329897,77.89473684,505.8175258,530.188,3.548562127,24.37047423,2,1,3,3,1.5,1,1.5,1.857142857
1013,23,1,2,1,Gym,0,4,2,4,3,3,3,4,3,2,2,4,3,3,2,3,3,2,2,2,2,3,3,3,2,3,4,4,2,4,3,2,2,3,100,98,400.7227273,482.04,2,81.31727273,3,4,3,3,3,2,3.5,3.071428571
1015,19,0,2,1,Gym,0,2,3,4,4,2,4,2,4,1,4,2,4,3,4,2,4,2,4,2,4,3,3,3,3,2,4,2,3,3,3,3,3,3,100,100,529.657449,579.8028283,0,50.1453793,3,4,5,6,7,7.5,9,5.928571429
1016,18,1,4,1,Gym,0,5,5,4,3,4,3,4,4,2,2,4,3,4,4,2,4,3,2,2,3,4,3,4,3,2,4,3,4,3,2,3,2,3,99,83.50515464,450.1299,600.633299,15.49484536,150.503399,3,4,3,2,1.5,2.5,1.5,2.5
1017,18,1,2,1,Run,0,4,3,3,3,4,4,3,4,2,3,2,4,3,3,2,4,3,2,4,3,2,3,2,2,3,4,2,4,4,3,1,4,1,100,62.85714286,539.7528571,554.1774286,37.14285714,14.42457143,2,4,5,6,7,8,9,5.857142857
1018,19,0,6,1,Gym,0,3,3,3,3,4,2,3,3,3,3,2,2,4,4,4,2,2,1,4,2,1,1,4,2,3,2,3,1,2,3,2,3,2,100,97.95918367,498.1424,597.5754082,2.040816327,99.43300816,3,4,4.5,4.5,1,1,4,3.142857143
1019,18,0,3,1,Cycle,0,5,4,3,3,2,3,2,3,2,3,2,5,3,3,4,2,3,3,3,4,4,2,4,4,3,4,3,4,3,4,2,2,3,100,98.98989899,549.7872727,681.2516162,1.01010101,131.4643434,3,2,4.5,6,4.5,3.5,2,3.642857143
1020,18,0,3,1,Martial Arts,1,5,5,3,3,3,4,3,4,2,4,2,4,4,2,3,3,2,2,3,3,2,4,3,4,2,4,3,3,2,3,4,4,2,100,98,423.4435,482.375,2,58.9315,3,4,5,5,6,8,8,5.571428571
1021,23,1,2,1,Basketball,1,5,2,1,4,3,4,3,4,2,3,3,4,4,4,3,2,2,3,2,3,4,3,4,3,2,3,3,4,4,2,3,4,1,98.94736842,94.79166667,546.0167368,677.6709375,4.155701754,131.6542007,3,2,4.5,5.5,7,4,7,4.714285714
1024,21,0,3,1,Dance,0,5,5,4,1,3,4,2,4,1,3,2,5,3,4,2,5,3,4,2,4,4,5,2,4,2,4,1,5,2,5,2,1,2,100,85.71428571,374.9979787,425.9165306,14.28571429,50.91855189,3,4,5,6,6.5,6.5,7.5,5.5
1026,23,0,4,1,Soccer,1,5,5,4,3,2,4,4,4,1,2,2,5,5,3,3,4,3,5,3,2,4,5,5,5,1,4,3,5,3,5,3,4,4,100,91.4893617,391.4795556,454.8140426,8.510638298,63.334487,3,3,5,3.5,6,4.5,2.5,3.928571429
1027,21,0,3,1,Gym,0,5,2,3,2,3,3,2,3,3,3,2,4,2,3,3,3,2,2,2,2,3,2,2,4,2,4,2,4,2,4,3,3,4,100,95.91836735,429.6527,496.3947959,4.081632653,66.74209592,3,3.5,2.5,5,2.5,2,1.5,2.857142857
1028,21,1,2,1,Gym,0,3,2,3,2,3,2,3,5,2,2,2,4,4,3,2,1,1,2,4,2,5,1,3,3,3,3,4,3,5,2,2,2,3,98.94736842,84.53608247,394.352,457.0756701,14.41128595,62.7236701,3,4,5,6,7,8,9,6
1030,29,1,2,1,Circuit Train,0,5,3,4,4,3,4,4,4,1,5,3,4,4,4,2,4,3,3,2,3,4,3,4,3,3,4,2,3,2,2,4,3,2,100,96.96969697,461.3164,603.6225253,3.03030303,142.3061253,3,3,4,0.5,2.5,3.5,2.5,2.714285714
1031,19,0,4,1,Gym,0,5,2,3,3,4,4,4,4,2,4,4,3,4,4,2,4,3,2,4,1,4,1,5,3,3,3,5,1,5,3,3,3,3,100,95.91836735,506.6863,596.9989796,4.081632653,90.31267959,2,1,0,0,0.5,2.5,1,1
1032,21,0,4,1,Gym,0,5,2,4,4,3,4,3,4,3,4,4,3,3,4,4,3,2,1,3,4,3,3,3,4,3,2,2,3,2,3,4,4,3,100,88.7755102,409.1384783,529.5831633,11.2244898,120.444685,3,4,2.5,5,1.5,3.5,3,3.214285714
1033,22,1,2,1,Snowboard,0,3,5,4,3,3,4,4,4,3,3,4,2,4,3,3,4,3,3,4,3,4,3,3,2,4,3,4,3,4,3,2,2,3,100,98,411.9811,465.6028,2,53.6217,3,4,5,5.5,4,8,5,4.928571429
1034,20,0,8,1,HIIT,0,3,2,3,4,4,4,5,4,2,4,5,3,4,4,2,5,4,5,2,4,4,3,3,3,2,4,3,2,2,1,2,3,2,100,96,449.2024,493.8627,4,44.6603,3,4,4,5,7,2,3,4
1035,18,0,4,1,Cycle,0,5,3,3,4,3,3,3,2,3,2,2,3,4,3,4,3,1,2,3,2,3,4,3,3,3,4,3,3,3,3,2,4,3,97.95918367,93.61702128,596.9978571,687.4709574,4.342162397,90.4731003,2,0,1.5,1.5,4.5,4,3.5,2.428571429
1036,21,0,3,1,Weight Train,0,5,2,3,4,5,2,4,4,2,5,4,2,4,4,2,4,3,2,2,3,4,4,2,3,2,3,5,3,3,2,3,3,1,100,97.97979798,471.4379,522.6520202,2.02020202,51.2141202,3,3,2.5,1,3,4,3,2.785714286
1037,18,0,2,1,Run,0,2,3,3,3,3,4,2,4,2,4,2,4,2,3,3,3,1,4,4,5,1,4,2,2,1,4,5,2,3,2,3,4,2,100,95.91836735,401.0228571,560.2383673,4.081632653,159.2155102,3,4,5,6,7,8,9,6
