"Subject","Age","Gender","Ethnicity","Exercise","E_category","Dynamic","E_history","E_duration","E_intensity","EI_1","EI_2","EI_3","EI_4","EI_5","EF_1","EF_2","EF_3","EF_4","EF_5","EM_1","EM_2","EM_3","EM_4","EM_5","Trail1Error","Trail2Error","Trail3Error","Trail4Error","Trail5Error","SumTrailError","Trail1RT","Trail2RT","Trail3RT","Trail4RT","Trail5RT","MeanTrailRT","Baseline_Correct_Go_RT","Calibration_Noncancelled_Go_RT","Calibration_Correct_Go_RT","Test_Correct_Go_RT","Test_Noncancelled_Go_RT","NCER_M","NCER","NCER_P","Go_RT_M","Go_RT","Go_RT_P","SSD_M","SSD","SSD_P","SSRT_M","SSRT","SSRT_P","SSRT_Mean"
"1000",20,2,4,1,"Swim",0,5,3,4,3,5,5,4,5,5,4,3,5,5,2,5,5,1,1,0,0,1,19,1,21,61.6153,48.8354,63.5617,91.0569,49.8392,62.9817,363.186162,363.349711111111,444.38099375,447.402727777778,351.900286666667,0.333333333333333,0.333333333333333,0.583333333333333,381.8374,381.8374,448.2337,90,130,170,291.8374,251.8374,278.2337,273.9695
"1001",19,2,3,1,"Hockey",1,5,3,4,2,4,4,2,5,4,4,4,4,4,5,5,4,4,5,5,10,8,7,2,32,66.6303,71.7881,68.9183,68.7651,57.4387,66.7081,274.866506,331.967116666667,337.498410416667,351.334374074074,319.137995454545,0.416666666666667,0.5,0.916666666666667,315.3946,331.9456,514.6306,50,90,130,265.3946,241.9456,NA,253.6701
"1002",21,2,2,1,"Zumba",0,5,2,4,2,2,5,2,5,4,1,1,1,1,1,4,4,1,3,3,3,4,2,2,14,46.5085,53.473,56.1795,66.0708,55.7659,55.59954,258.727483673469,280.0183125,380.67158125,332.370867592593,284.5651,0.833333333333333,0.666666666666667,0.75,431.4716,331.8638,365.0377,90,130,170,341.4716,201.8638,195.0377,246.124366666667
"1003",21,2,6,1,"Gym",0,2,2,2,3,2,5,2,2,2,2,2,2,2,3,3,2,3,3,16,5,11,11,13,56,58.9038,59.1641,84.4005,62.8864,72.13011006,67.496982012,280.387610416667,296.339685714286,369.266191666667,332.225736190476,323.93137037037,0.916666666666667,0.666666666666667,0.666666666666667,431.4907,348.5714,348.5714,50,90,130,NA,258.5714,218.5714,238.5714
"1004",18,2,3,1,"Swim",0,5,2,3,3,4,3,3,3,3,2,4,3,3,3,3,2,2,2,0,0,0,0,1,1,81.0856,70.4029,83.9024,80.0825,79.0474,78.90416,293.105920454545,359.659588888889,388.34059375,406.056599074074,345.248725,0.166666666666667,0.75,0.75,315.3452,414.962,414.962,10,50,90,305.3452,364.962,324.962,331.7564
"1005",19,2,2,1,"Run",0,4,3,3,2,4,5,2,2,3,3,2,3,2,2,2,2,4,3,0,2,6,6,3,17,49.5711,52.6786,55.7674,53.1301,57.9654,53.82252,341.518774,326.376877777778,364.0745625,355.882881481481,321.629695238095,0.583333333333333,0.5,0.666666666666667,365.0409,348.4615,365.1582,50,90,130,315.0409,258.4615,235.1582,269.553533333333
"1006",19,2,2,1,"Yoga",0,5,2,3,5,4,5,2,2,3,4,2,2,3,1,3,2,1,1,0,0,4,2,3,9,47.865,46.1222,46.4465,52.4839,42.4784,47.0792,252.705602083333,331.899525,364.420597916667,396.439489719626,302.193510526316,0.0833333333333333,0.833333333333333,0.666666666666667,265.445,497.8972,365.0861,10,50,90,NA,447.8972,275.0861,361.49165
"1008",21,2,3,1,"Run",0,5,4,3,4,4,5,5,5,5,5,3,4,2,2,3,3,1,4,5,1,9,4,4,23,62.7416,55.5687,79.101,79.5016,62.5726,67.8971,318.638548,363.4511,410.7550125,407.463843925234,368.577033333333,0.583333333333333,0.666666666666667,0.75,398.345,431.4858,464.6538,90,130,170,308.345,301.4858,294.6538,301.494866666667
"1011",19,2,8,1,"Core Train",0,3,2,3,5,4,5,5,5,5,5,3,4,5,5,2,3,3,5,3,0,1,3,3,10,48.4399,38.9027,50.0957,46.1437,45.9526,45.90692,313.639594,323.59688,353.347858333333,355.469699047619,284.482147619048,0.416666666666667,0.583333333333333,0.75,331.904,365.058,381.7939,50,90,130,281.904,275.058,251.7939,269.5853
"1013",19,2,4,1,"Zumba",0,5,3,4,3,1,1,3,4,3,4,4,1,3,5,5,5,1,3,2,0,1,1,1,5,68.396,47.1927,70.2429,70.9609,56.6296,62.68442,285.490516326531,317.169688888889,351.337582978723,361.313122857143,338.2196,0.583333333333333,0.833333333333333,1,348.5027,448.0781,697.1693,90,130,170,258.5027,318.0781,NA,288.2904
"1014",31,2,8,1,"Cycle",0,5,5,3,3,4,4,3,5,3,2,3,2,3,5,5,3,3,5,1,1,5,6,3,16,56.2632,56.2736,69.5689,75.4742,58.5982,63.23562,361.385553061224,439.822575,545.636402083333,544.33484537037,461.007066666667,0.166666666666667,0.333333333333333,0.25,414.9133,464.6812,448.1234,130,170,210,284.9133,294.6812,238.1234,272.572633333333
"1018",19,2,2,1,"Yoga",0,2,3,2,4,4,5,5,4,5,3,2,3,3,2,2,3,3,1,0,1,2,11,2,16,56.6257,71.9613,71.8652,92.7929,61.2572,70.90046,325.011294,388.0343,437.58920212766,479.839225,378.983475,0.166666666666667,0.416666666666667,0.416666666666667,381.7396,448.1666,448.1666,130,170,210,251.7396,278.1666,238.1666,256.024266666667
"1019",18,1,2,1,"Weight Train",0,5,3,4,4,3,4,4,3,2,3,2,2,2,4,3,3,2,1,4,7,3,12,15,41,42.0036,33.8579,46.223,52.5287,44.1753,43.7577,260.528096,285.794811111111,318.424345833333,311.928137037037,288.266251851852,0.666666666666667,0.583333333333333,1,315.3061,298.7319,796.6744,50,90,130,265.3061,208.7319,NA,237.019
"1020",19,2,3,1,"Swim",0,5,2,3,3,3,5,3,4,4,3,2,3,2,2,3,2,1,3,0,0,1,0,1,2,42.9218,35.629,44.7189,38.0533,36.0397,39.47254,291.4749,287.7078,336.121597916667,352.915570093458,326.76891875,0.333333333333333,0.5,0.5,331.9397,348.5438,348.5438,10,50,90,321.9397,298.5438,258.5438,293.0091
"1021",18,2,4,1,"Badminton",1,5,3,4,3,4,5,3,4,5,5,4,4,4,2,4,4,2,5,0,0,1,1,0,2,50.9937,51.7471,59.0648,55.9942,46.9711,52.95418,285.089672,355.905933333333,419.40474375,398.922485185185,351.991584210526,0.333333333333333,0.583333333333333,0.666666666666667,331.8865,365.1659,381.7406,90,130,170,241.8865,235.1659,211.7406,229.597666666667
"1022",20,1,8,1,"Weight Train",0,5,1,3,4,4,3,5,5,4,2,2,3,2,5,3,5,2,5,4,0,2,1,0,7,42.946,41.3447,50.7425,43.6624,38.8908,43.51728,259.875248,230.5001,271.417248888889,284.3482625,242.947788,0.75,0.666666666666667,0.666666666666667,315.2355,298.6878,298.6878,0,0,40,315.2355,298.6878,258.6878,290.870366666667
"1024",18,2,5,1,"Functional Train",0,5,3,4,5,4,5,4,5,2,4,1,2,4,1,1,1,1,4,5,2,1,1,1,10,48.5685,48.9084,42.904,60.8072,43.6942,48.97646,326.264446,356.79075,476.819083333333,383.877813084112,314.611320833333,0.5,0.75,0.75,348.5505,464.7444,464.7444,130,170,210,218.5505,294.7444,254.7444,256.0131
"1025",21,2,8,1,"Volleyball",1,5,5,4,2,4,5,5,3,2,3,1,3,4,2,4,3,2,3,1,1,2,0,1,5,62.5038,58.712,63.0776,56.6128,48.8462,57.95048,273.216016,329.598328571429,373.480264583333,269.528871428571,238.255335483871,0.666666666666667,0.916666666666667,1,265.6203,348.5409,448.2457,90,130,170,175.6203,NA,NA,175.6203
"1026",20,2,4,1,"Cardio",0,5,3,3,3,5,4,2,5,5,5,5,5,5,5,5,5,5,1,9,7,4,7,0,27,82.6269,96.456,84.4176,94.2399,65.3045,84.60898,421.475266666667,424.402528571429,506.89785625,619.322887619048,532.21934,0.333333333333333,0.333333333333333,0.583333333333333,481.3103,481.3103,564.3552,130,170,210,351.3103,311.3103,354.3552,338.991933333333
"1028",22,2,3,1,"Weight Train",0,4,3,3,3,4,5,4,2,2,3,2,2,2,2,3,3,2,4,3,5,4,2,0,14,72.5701,58.1146,82.093,77.0003,57.4288,69.44136,397.048652,336.118175,368.705038297872,345.947944444444,310.620047619048,0.416666666666667,0.5,0.833333333333333,331.8988,331.9369,381.8354,90,130,170,241.8988,201.9369,211.8354,218.557033333333
"1029",22,2,8,1,"Cycle",0,5,2,3,3,4,4,4,4,4,4,1,3,2,4,4,2,3,4,0,1,1,5,3,10,57.5713,62.6733,74.9746,74.9136,52.0665,64.43986,265.208089583333,304.317766666667,345.443372916667,350.726883333333,289.894221428571,0.666666666666667,0.75,0.916666666666667,348.5214,381.8234,547.8064,50,90,130,298.5214,291.8234,NA,295.1724
"1030",18,2,3,1,"Weight Train",0,2,4,3,2,3,3,4,4,5,5,5,4,5,4,2,4,5,3,8,5,9,5,9,36,72.9849,75.1016,77.3133,78.5422,87.9562,78.37964,320.61862,325.25811,386.547683333333,400.768033333333,340.968640909091,0.5,0.5,0.833333333333333,381.6736,381.6736,464.6905,90,130,170,291.6736,251.6736,294.6905,279.3459
"1032",22,2,2,1,"Walk",0,5,1,2,4,3,2,2,2,3,2,2,2,2,5,5,3,4,2,3,3,2,2,1,11,39.9967,46.1035,49.2487,48.2315,39.6359,44.64326,289.82814,260.59803,286.667664583333,311.023458878505,286.33136875,0.0833333333333333,0.5,0.75,232.3914,282.2834,331.9578,0,0,40,NA,282.2834,291.9578,287.1206
"1033",19,2,2,1,"Pilates",0,3,2,3,2,5,5,2,2,2,2,2,2,2,2,2,2,2,3,1,7,6,5,11,30,58.7848,56.1732,60.6058,63.6101,50.8244,57.99966,307.189255102041,293.965942857143,353.012220833333,350.046344444444,306.095322222222,0.166666666666667,0.25,0.333333333333333,282.1897,298.7185,298.8106,10,50,90,272.1897,248.7185,208.8106,243.2396
"1034",21,2,2,1,"Pilates",0,3,2,3,4,4,4,3,4,4,4,2,4,4,2,4,3,1,4,1,3,0,2,0,6,76.3411,58.8777,65.3574,59.2912,49.8028,61.93404,301.705376,322.670533333333,405.5630875,390.935512037037,348.503478571429,0.166666666666667,0.416666666666667,0.583333333333333,315.3033,348.4774,381.7817,50,90,130,265.3033,258.4774,251.7817,258.5208
"1035",19,2,2,1,"Walk",0,5,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,3,3,0,3,1,0,1,5,79.6034,88.7499,84.9112,94.4848,72.0126,83.95238,300.810555102041,346.736388888889,446.0997625,420.093128971963,367.403653333333,0.166666666666667,0.583333333333333,0.5,331.9718,431.547,414.9368,130,170,210,201.9718,261.547,204.9368,222.818533333333
"1036",19,2,2,1,"Jog",0,3,2,4,4,4,4,3,4,4,4,4,4,2,2,4,4,2,3,5,18,27,28,9,87,53.9047,63.4114,68.9983,79.9356,60.9648,65.44296,280.46162,398.304771428571,498.952252083333,457.645362962963,317.490439130435,0.666666666666667,0.416666666666667,0.833333333333333,464.7541,381.6872,514.5016,130,170,210,334.7541,211.6872,304.5016,283.647633333333
"1038",20,2,3,1,"Walk",0,5,3,2,1,2,2,1,2,1,1,1,1,1,2,3,1,2,1,0,0,0,0,4,4,81.1557,60.989,81.1426,83.0175,74.5599,76.17294,315.701348979592,317.4621,752.15373125,363.481431481481,301.925061904762,0.75,0.416666666666667,0.583333333333333,431.5631,331.9333,365.123,50,90,130,381.5631,241.9333,235.123,286.206466666667
"1040",21,2,8,1,"Run",0,5,1,3,2,2,3,2,3,2,2,2,2,2,3,2,2,3,2,3,2,2,1,3,11,52.5705,42.9015,44.5389,41.4223,50.3705,46.36074,301.694576,334.262571428571,387.929914583333,404.046344859813,353.116988888889,0.416666666666667,0.5,0.583333333333333,381.708,398.283,398.3536,90,130,170,291.708,268.283,228.3536,262.781533333333
"1042",21,2,2,1,"Weight Train",0,5,5,4,5,5,5,4,5,3,3,2,2,2,2,3,3,2,2,2,5,6,7,7,27,47.9007,47.0274,57.9426,48.1252,47.2884,49.65686,296.770752,330.136188888889,389.378004166667,352.562490740741,319.368320689655,0.583333333333333,0.833333333333333,1,348.5348,398.3541,796.7281,50,90,130,298.5348,308.3541,NA,303.44445
"1043",20,2,3,1,"Climb",0,4,3,3,3,4,2,4,2,5,5,5,5,4,4,3,3,3,3,7,6,3,9,7,32,79.673,69.8849,57.7048,72.0891,69.9217,69.8547,295.050172,344.846377777778,375.827985416667,396.134028037383,398.314553333333,0.333333333333333,0.5,0.416666666666667,348.5336,365.1557,365.0832,50,90,130,298.5336,275.1557,235.0832,269.590833333333
"1044",18,2,2,1,"Dance",0,5,1,4,3,3,3,3,4,3,4,3,2,5,4,3,3,3,3,4,0,0,0,0,4,81.9135,55.3973,51.1965,61.4673,53.5109,60.6971,360.797974,417.0069125,482.01174375,487.620644444444,419.252552173913,0.5,0.583333333333333,0.833333333333333,464.7445,497.8717,580.8852,170,210,250,294.7445,287.8717,330.8852,304.500466666667
"1045",20,1,2,1,"Swim",0,2,5,3,1,5,4,1,1,1,3,1,1,1,1,1,1,1,5,0,0,3,0,0,3,49.6208,55.8415,51.5186,56.2327,52.4931,53.14134,304.696754,298.6969375,339.864089583333,329.143239814815,304.9365375,0.166666666666667,0.583333333333333,0.583333333333333,282.1181,331.8962,331.8962,10,50,90,272.1181,281.8962,241.8962,265.3035
"1046",52,1,3,1,"Yoga",0,5,5,3,3,4,4,3,2,4,3,3,2,3,4,2,3,2,4,2,0,1,6,2,11,63.5257,54.1089,64.9135,73.4334,70.68491047,65.333282094,352.571458,284.531671428571,402.605772340426,397.598253271028,400.208133333333,0.333333333333333,0.583333333333333,0.583333333333333,365.1118,398.3963,398.3963,10,50,90,355.1118,348.3963,308.3963,337.301466666667
"1047",21,2,5,1,"Walk",0,5,2,3,2,2,5,3,2,4,4,4,3,4,5,3,2,5,5,0,4,5,1,1,11,57.9233,55.4882,84.6661,55.2975,91.1485,68.90472,303.101276,324.873014285714,346.505089583333,346.111278703704,322.160086363636,0.5,0.666666666666667,0.666666666666667,331.9779,365.1115,365.1115,50,90,130,281.9779,275.1115,235.1115,264.066966666667
