"Subject","Age","Gender","Ethnicity","Exercise","L_category","Active","L_history","L_duration","L_intensity","LI_1","LI_2","LI_3","LI_4","LI_5","LF_1","LF_2","LF_3","LF_4","LF_5","LM_1","LM_2","LM_3","LM_4","LM_5","Trail1Error","Trail2Error","Trail3Error","Trail4Error","Trail5Error","SumTrailError","Trail1RT","Trail2RT","Trail3RT","Trail4RT","Trail5RT","MeanTrailRT","Baseline_Correct_Go_RT","Calibration_Noncancelled_Go_RT","Calibration_Correct_Go_RT","Test_Correct_Go_RT","Test_Noncancelled_Go_RT","NCER_M","NCER","NCER_P","Go_RT_M","Go_RT","Go_RT_P","SSD_M","SSD","SSD_P","SSRT_M","SSRT","SSRT_P","SSRT_Mean"
"1000",20,2,4,1,"Cook",1,3,2,3,3,5,4,5,5,5,5,5,4,3,5,5,5,2,3,0,0,1,19,1,21,61.6153,48.8354,63.5617,91.0569,49.8392,62.9817,363.186162,363.349711111111,444.38099375,447.402727777778,351.900286666667,0.333333333333333,0.333333333333333,0.583333333333333,381.8374,381.8374,448.2337,90,130,170,291.8374,251.8374,278.2337,273.9695
"1001",19,2,3,1,"Cook",1,5,2,2,3,3,3,4,2,4,4,4,4,3,4,4,4,4,4,5,10,8,7,2,32,66.6303,71.7881,68.9183,68.7651,57.4387,66.7081,274.866506,331.967116666667,337.498410416667,351.334374074074,319.137995454545,0.416666666666667,0.5,0.916666666666667,315.3946,331.9456,514.6306,50,90,130,265.3946,241.9456,NA,253.6701
"1002",21,2,2,1,"Yoga",1,5,2,2,5,4,5,5,2,4,2,2,3,3,1,4,1,1,4,3,3,4,2,2,14,46.5085,53.473,56.1795,66.0708,55.7659,55.59954,258.727483673469,280.0183125,380.67158125,332.370867592593,284.5651,0.833333333333333,0.666666666666667,0.75,431.4716,331.8638,365.0377,90,130,170,341.4716,201.8638,195.0377,246.124366666667
"1003",21,2,6,1,"View",0,5,3,1,2,3,3,3,2,2,3,2,2,2,4,4,4,4,4,16,5,11,11,13,56,58.9038,59.1641,84.4005,62.8864,72.13011006,67.496982012,280.387610416667,296.339685714286,369.266191666667,332.225736190476,323.93137037037,0.916666666666667,0.666666666666667,0.666666666666667,431.4907,348.5714,348.5714,50,90,130,NA,258.5714,218.5714,238.5714
"1004",18,2,3,1,"Cook",1,5,2,2,4,4,3,5,3,3,3,4,4,4,4,5,4,4,2,0,0,0,0,1,1,81.0856,70.4029,83.9024,80.0825,79.0474,78.90416,293.105920454545,359.659588888889,388.34059375,406.056599074074,345.248725,0.166666666666667,0.75,0.75,315.3452,414.962,414.962,10,50,90,305.3452,364.962,324.962,331.7564
"1005",19,2,2,1,"Read",1,5,5,1,4,5,2,3,2,4,2,3,3,2,2,2,5,4,1,0,2,6,6,3,17,49.5711,52.6786,55.7674,53.1301,57.9654,53.82252,341.518774,326.376877777778,364.0745625,355.882881481481,321.629695238095,0.583333333333333,0.5,0.666666666666667,365.0409,348.4615,365.1582,50,90,130,315.0409,258.4615,235.1582,269.553533333333
"1006",19,2,2,1,"Media",1,5,2,2,1,1,1,1,1,1,1,3,1,1,4,1,3,4,4,0,0,4,2,3,9,47.865,46.1222,46.4465,52.4839,42.4784,47.0792,252.705602083333,331.899525,364.420597916667,396.439489719626,302.193510526316,0.0833333333333333,0.833333333333333,0.666666666666667,265.445,497.8972,365.0861,10,50,90,NA,447.8972,275.0861,361.49165
"1008",21,2,3,1,"Listen (Podcast)",0,5,5,1,2,3,1,4,2,3,1,3,3,1,3,2,5,4,3,5,1,9,4,4,23,62.7416,55.5687,79.101,79.5016,62.5726,67.8971,318.638548,363.4511,410.7550125,407.463843925234,368.577033333333,0.583333333333333,0.666666666666667,0.75,398.345,431.4858,464.6538,90,130,170,308.345,301.4858,294.6538,301.494866666667
"1009",25,2,3,0,"Listen (Music)",0,5,3,1,2,4,4,3,2,3,3,4,2,3,4,2,2,4,1,1,1,6,2,3,13,44.8373,41.7755,54.0563,47.6313,39.2551,45.5111,287.759118,336.88037,383.78779375,343.74949537037,316.247244444444,0.25,0.5,0.75,298.7195,331.9383,365.1653,10,50,90,288.7195,281.9383,275.1653,281.941033333333
"1010",19,2,3,1,"View",0,5,2,1,1,4,2,1,1,1,1,1,1,1,2,2,2,2,4,1,1,2,1,2,7,55.5667,52.2313,58.5459,49.5212,61.4329,55.4596,327.66573,497.970485714286,635.984625,538.084012037037,432.7476,0.666666666666667,0.916666666666667,0.75,614.1452,763.5267,663.9973,330,370,410,284.1452,NA,253.9973,269.07125
"1011",19,2,8,1,"View",0,5,5,3,3,4,2,2,2,1,1,1,1,1,2,5,5,2,4,3,0,1,3,3,10,48.4399,38.9027,50.0957,46.1437,45.9526,45.90692,313.639594,323.59688,353.347858333333,355.469699047619,284.482147619048,0.416666666666667,0.583333333333333,0.75,331.904,365.058,381.7939,50,90,130,281.904,275.058,251.7939,269.5853
"1012",20,2,4,0,"Read",1,5,5,2,3,4,2,4,3,3,3,3,3,4,3,2,2,3,3,6,5,2,1,5,19,66.3142,64.953,61.1632,67.0738,59.8216,63.86516,386.419334,383.83495,588.922472916667,576.155394392523,431.553369230769,0.25,0.25,0.583333333333333,381.8313,381.8313,580.8943,170,210,250,211.8313,171.8313,330.8943,238.185633333333
"1014",31,2,8,1,"Listen (Podcast)",0,5,5,1,3,4,2,2,2,1,3,4,4,1,4,3,5,5,3,1,1,5,6,3,16,56.2632,56.2736,69.5689,75.4742,58.5982,63.23562,361.385553061224,439.822575,545.636402083333,544.33484537037,461.007066666667,0.166666666666667,0.333333333333333,0.25,414.9133,464.6812,448.1234,130,170,210,284.9133,294.6812,238.1234,272.572633333333
"1015",19,2,3,0,"Swim",1,5,2,3,4,2,4,4,3,4,4,4,2,3,2,4,4,2,4,0,1,0,0,0,1,61.0854,87.993,87.7198,82.6392,78.7553,79.63854,296.186953333333,355.2134,387.9965375,373.317278703704,327.539643333333,0.833333333333333,0.666666666666667,1,448.1143,381.6817,663.9085,90,130,170,358.1143,251.6817,NA,304.898
